"","INVENTORY_ID","province","notebook","class","subclass","IFN3_ID","X","Y","Forest_type","Deadwood","species_1","species_2","species_3","N","N_dead","N_alive","N_sp_1","N_sp_2","N_sp_3","CD_0_75","CD_75_125","CD_125_175","CD_175_225","CD_225_275","CD_275_325","CD_325_375","CD_375_425","CD_425_","DBHm","Dg","Do","G","G_dead","G_alive","G_sp_1","G_sp_2","G_sp_3","Hm","Ho","Fcc","slenderness","dominant_slenderness","SDI","S","S_staggered"
"937","IFN3",49,792,"A",NA,"49_792_A_1",297000,4627000,"natural",0,45,NA,NA,31.8309886183791,NA,31.8309886183791,31.8309886183791,NA,NA,0,0,31.8309886183791,0,0,0,0,0,0,13.95,13.95,13.95,0.48650625,NA,0.48650625,0.48650625,NA,NA,4.5,4.5,70,32.258064516129,32.258064516129,12.4795238852647,393.878633534559,733.090740527512
"938","IFN3",49,793,"A",NA,"49_793_A_1",298000,4627000,"natural",1,45,26,23,1662.28496118202,1648.13785512941,14.1471060526129,1400.56349920868,56.5884242104517,205.133037762887,0,1527.8874536822,63.6619772367581,0,42.4413181578388,28.2942121052258,0,0,0,10.505,11.1295860736243,22.6689655172414,16.1716145833333,15.4854784722222,0.686136111111111,9.923075,3.35763888888889,2.89090069444444,4.67340425531915,6.68,70,44.4874274661509,29.4675996349255,453.534758942782,36.7173052152241,68.3386052928449
"939","IFN3",49,794,"A",NA,"49_794_A_1",299000,4627000,"natural",0,23,26,NA,155.618166578742,NA,155.618166578742,70.7355302630646,84.8826363156775,NA,0,0,0,0,70.7355302630646,56.5884242104517,28.2942121052258,0,0,28.9090909090909,29.1039750487174,30.2625,10.3527277777778,NA,10.3527277777778,5.32510555555556,5.02762222222222,NA,9.72727272727273,10.125,70,33.6477987421384,33.457249070632,198.614081865973,79.1725842649714,147.356783249306
"940","IFN3",49,795,"A",NA,"49_795_A_1",300000,4627000,"natural",0,26,23,NA,325.383439210097,NA,325.383439210097,311.236333157484,14.1471060526129,NA,0,0,0,141.471060526129,42.4413181578388,42.4413181578388,70.7355302630646,28.2942121052258,0,27.2173913043478,28.1667887614196,35.96875,20.2749597222222,NA,20.2749597222222,18.3797486111111,1.89521111111111,NA,9.91304347826087,11.0625,60,36.4217252396166,30.755864465682,394.030787653275,50.1128374460704,93.2705000614136
"941","IFN3",49,796,"A",NA,"49_796_A_1",301000,4627000,"natural",0,23,26,NA,364.287980854783,NA,364.287980854783,300.626003618025,63.6619772367581,NA,0,0,31.8309886183791,190.985931710274,84.8826363156775,56.5884242104517,0,0,0,22.7077669902913,23.1169966470686,27.83125,15.28965,NA,15.28965,13.0087375,2.2809125,NA,6.61650485436893,7.8125,70,29.1376287998632,28.0709633954637,321.263244981411,67.0637058621025,124.819621089333
"942","IFN3",49,797,"A",NA,"49_797_A_1",302000,4627000,"natural",0,23,NA,NA,56.5884242104517,NA,56.5884242104517,56.5884242104517,NA,NA,0,0,0,0,42.4413181578388,14.1471060526129,0,0,0,25.9125,26.0478765929202,25.9125,3.01551944444444,NA,3.01551944444444,3.01551944444444,NA,NA,7.875,7.875,60,30.3907380607815,30.3907380607815,60.443342024989,168.805128657668,314.181745940362
"946","IFN3",49,80,"A",NA,"49_80_A_4C",684000,4656000,"natural",0,43,NA,NA,413.802852038928,NA,413.802852038928,413.802852038928,NA,NA,0,381.971863420549,31.8309886183791,0,0,0,0,0,0,9.43461538461538,9.66636714832175,10.61,3.03675625,NA,3.03675625,3.03675625,NA,NA,5.94615384615385,6.42,30,63.0248675091725,60.5089538171536,90.0424577041796,76.5716899452845,142.515973465482
"947","IFN3",49,800,"A",NA,"49_800_A_1",727000,4616000,"natural",0,26,NA,NA,898.34123434092,NA,898.34123434092,898.34123434092,NA,NA,0,0,95.4929658551372,477.464829275686,254.647908947033,70.7355302630646,0,0,0,21.309842519685,21.6050915368336,27.78125,32.9339208333333,NA,32.9339208333333,32.9339208333333,NA,NA,11.2185039370079,12.0625,50,52.6447059692944,43.4195725534308,710.739051225336,27.6593523255581,51.4798553475627
"948","IFN3",49,801,"A",NA,"49_801_A_4C",732000,4616000,"natural",0,43,NA,NA,509.295817894065,NA,509.295817894065,509.295817894065,NA,NA,0,509.295817894065,0,0,0,0,0,0,0,10.6375,10.6747658053936,12.15,4.558025,NA,4.558025,4.558025,NA,NA,7.65,8,60,71.9153936545241,65.843621399177,129.954570150214,55.3891828407974,103.090885386681
"949","IFN3",49,803,"A",NA,"49_803_A_3C",727000,4615000,"natural",0,43,NA,NA,855.899916183082,NA,855.899916183082,855.899916183082,NA,NA,0,254.647908947033,318.309886183791,254.647908947033,28.2942121052258,0,0,0,0,15.3421487603306,15.8127439712665,21.3514285714286,16.8084375,NA,16.8084375,16.8084375,NA,NA,11.3057851239669,13.3714285714286,80,73.6910148674854,62.6254516258531,410.332474144179,25.5629340361553,47.5779812539052
"950","IFN3",49,803,"A",NA,"49_803_A_3E",727000,4615000,"natural",0,43,NA,NA,95.4929658551372,NA,95.4929658551372,95.4929658551372,NA,NA,0,0,95.4929658551372,0,0,0,0,0,0,15.05,15.1047729763365,21.3514285714286,1.71115625,NA,1.71115625,1.71115625,NA,NA,7.53333333333333,13.3714285714286,80,50.0553709856035,62.6254516258531,42.5359329485464,76.5308435430066,142.439949744609
