Origen,Provincia,Estadillo,Clase,Subclase,Hoja50,CoorX,CoorY,INE,Nivel1,Nivel2,Nivel3,Nivel4,Nivel5,Nivel6,FccTot,FccArb,DisEsp,ComEsp,JefeEq,Estado
49,49,97,A,NA,267,705000,4653000,166,1,NA,NA,NA,NA,NA,NA,20,1,2,7,X
49,49,98,A,NA,268,705000,4671000,181,1,NA,NA,NA,NA,NA,NA,50,1,1,3,X
49,49,99,A,NA,268,706000,4671000,181,1,NA,NA,NA,NA,NA,NA,50,1,1,3,X
49,49,100,A,NA,268,711000,4671000,181,1,NA,NA,NA,NA,NA,NA,80,1,1,3,X
49,49,101,A,NA,268,712000,4671000,62,1,NA,NA,NA,NA,NA,NA,40,1,2,3,X
49,49,102,A,NA,268,719000,4671000,134,1,NA,NA,NA,NA,NA,NA,30,1,2,3,X
49,49,103,A,NA,268,720000,4671000,134,1,NA,NA,NA,NA,NA,NA,40,1,2,3,X
49,49,104,A,NA,268,721000,4671000,97,1,NA,NA,NA,NA,NA,NA,30,1,2,3,X
49,49,105,A,NA,268,725000,4671000,97,1,NA,NA,NA,NA,NA,NA,0,NA,NA,3,X
49,49,106,A,NA,268,705000,4670000,181,1,NA,NA,NA,NA,NA,NA,50,1,3,3,X
49,49,107,A,NA,268,706000,4670000,181,1,NA,NA,NA,NA,NA,NA,30,1,1,3,X
49,49,108,A,NA,268,707000,4670000,181,1,NA,NA,NA,NA,NA,NA,30,1,1,3,X
49,49,109,A,NA,268,712000,4670000,181,1,NA,NA,NA,NA,NA,NA,10,1,1,3,X
49,49,110,A,NA,268,713000,4670000,62,1,NA,NA,NA,NA,NA,NA,15,1,2,3,X
49,49,111,A,NA,268,714000,4670000,62,1,NA,NA,NA,NA,NA,NA,10,1,1,3,X
49,49,112,A,NA,268,715000,4670000,62,1,NA,NA,NA,NA,NA,NA,5,1,1,3,X
49,49,113,A,NA,268,716000,4670000,NA,1,NA,NA,NA,NA,NA,NA,,NA,NA,3,X
49,49,114,A,NA,268,717000,4670000,62,1,NA,NA,NA,NA,NA,NA,20,1,2,3,X
49,49,115,A,NA,268,718000,4670000,134,1,NA,NA,NA,NA,NA,NA,0,0,0,3,X
49,49,116,A,NA,268,720000,4670000,134,1,NA,NA,NA,NA,NA,NA,30,1,2,3,X
49,49,117,A,NA,268,721000,4670000,134,1,NA,NA,NA,NA,NA,NA,90,1,2,3,X
49,49,118,A,NA,268,705000,4669000,181,1,NA,NA,NA,NA,NA,NA,70,1,1,3,X
49,49,119,A,NA,268,707000,4669000,181,1,NA,NA,NA,NA,NA,NA,5,1,1,3,X
49,49,120,A,NA,268,708000,4669000,181,1,NA,NA,NA,NA,NA,NA,40,1,1,3,X
49,49,123,A,NA,268,721000,4669000,134,1,NA,NA,NA,NA,NA,NA,70,1,2,3,X
49,49,125,A,NA,268,730000,4669000,97,1,NA,NA,NA,NA,NA,NA,40,1,2,3,X
49,49,126,A,NA,268,708000,4668000,181,1,NA,NA,NA,NA,NA,NA,60,1,1,3,X
49,49,127,A,NA,268,712000,4668000,181,1,NA,NA,NA,NA,NA,NA,60,1,1,3,X
49,49,128,A,NA,268,718000,4668000,134,1,NA,NA,NA,NA,NA,NA,70,1,1,3,X
49,49,129,A,NA,268,728000,4668000,97,1,NA,NA,NA,NA,NA,NA,40,1,2,3,X
49,49,130,A,NA,268,708000,4667000,181,1,NA,NA,NA,NA,NA,NA,20,1,1,3,X
49,49,131,A,NA,268,709000,4667000,181,1,NA,NA,NA,NA,NA,NA,40,1,1,3,X
49,49,132,A,NA,268,712000,4667000,181,1,NA,NA,NA,NA,NA,NA,20,1,2,3,X
49,49,133,A,NA,268,718000,4667000,134,1,NA,NA,NA,NA,NA,NA,40,1,1,3,X
49,49,134,A,NA,268,722000,4667000,134,1,NA,NA,NA,NA,NA,NA,80,1,2,3,X
49,49,135,A,NA,268,726000,4667000,134,1,NA,NA,NA,NA,NA,NA,20,1,1,3,X
49,49,136,A,NA,268,727000,4667000,134,1,NA,NA,NA,NA,NA,NA,30,1,1,3,X
49,49,137,A,NA,268,728000,4667000,134,1,NA,NA,NA,NA,NA,NA,50,1,1,3,X
49,49,138,A,NA,268,708000,4666000,181,1,NA,NA,NA,NA,NA,NA,60,1,1,3,X
49,49,139,A,NA,268,709000,4666000,181,1,NA,NA,NA,NA,NA,NA,20,1,2,3,X
49,49,140,A,NA,268,710000,4666000,181,1,NA,NA,NA,NA,NA,NA,20,1,1,3,X
49,49,141,A,NA,268,712000,4666000,181,1,NA,NA,NA,NA,NA,NA,0,NA,NA,3,X
49,49,142,A,NA,268,720000,4666000,134,1,NA,NA,NA,NA,NA,NA,20,1,1,3,X
49,49,143,A,NA,268,723000,4666000,134,1,NA,NA,NA,NA,NA,NA,50,1,1,3,X
49,49,144,A,NA,268,724000,4666000,150,1,NA,NA,NA,NA,NA,NA,60,1,2,3,X
49,49,146,A,NA,268,726000,4666000,134,1,NA,NA,NA,NA,NA,NA,80,1,2,3,X
49,49,147,A,NA,268,727000,4666000,134,1,NA,NA,NA,NA,NA,NA,25,1,2,3,X
49,49,148,A,NA,268,728000,4666000,134,1,NA,NA,NA,NA,NA,NA,40,1,1,3,X
49,49,149,A,NA,268,729000,4666000,134,1,NA,NA,NA,NA,NA,NA,40,1,2,3,X
49,49,150,A,NA,268,730000,4666000,134,1,NA,NA,NA,NA,NA,NA,50,1,1,3,X
49,49,151,A,NA,268,731000,4666000,120,1,NA,NA,NA,NA,NA,NA,30,1,2,3,X
49,49,152,A,NA,268,706000,4665000,181,1,NA,NA,NA,NA,NA,NA,50,1,2,3,X
49,49,153,A,NA,268,709000,4665000,181,1,NA,NA,NA,NA,NA,NA,60,1,1,3,X
49,49,154,A,NA,268,710000,4665000,181,1,NA,NA,NA,NA,NA,NA,40,1,3,3,X
49,49,155,A,NA,268,716000,4665000,62,1,NA,NA,NA,NA,NA,NA,70,1,1,3,X
49,49,156,A,NA,268,729000,4665000,134,1,NA,NA,NA,NA,NA,NA,20,1,2,3,X
49,49,157,A,NA,268,730000,4665000,134,1,NA,NA,NA,NA,NA,NA,50,1,1,3,X
49,49,158,A,NA,268,731000,4665000,120,1,NA,NA,NA,NA,NA,NA,70,1,1,3,X
49,49,159,A,NA,268,706000,4664000,181,1,NA,NA,NA,NA,NA,NA,60,1,1,3,X
49,49,161,A,NA,268,708000,4664000,181,1,NA,NA,NA,NA,NA,NA,60,1,1,3,X
49,49,162,A,NA,268,709000,4664000,181,1,NA,NA,NA,NA,NA,NA,60,1,1,3,X
49,49,163,A,NA,268,714000,4664000,62,1,NA,NA,NA,NA,NA,NA,20,1,1,3,X
49,49,164,A,NA,268,716000,4664000,62,1,NA,NA,NA,NA,NA,NA,20,1,1,3,X
